manufacturer,model,year,gas,km,expenses,last_bid
 FORD,"FIESTA FLEX
      "," 2012/2013
  ", ALC/GAS   ," 181.100   
  "," R$ 1.750,00","R$ 12.800,00"
 CHEVROLET,"CORSA HATCH MAXX
      "," 2005/2005
  ",," 84.700   
  "," R$ 1.750,00","R$ 12.200,00"
 VOLKSWAGEN,"SAVEIRO 1.6
      "," 2007/2008
  ", ALC/GAS   ," DIGITAL   
  "," R$ 1.750,00",
 VOLKSWAGEN,"GOL 1.0 GIV
      "," 2011/2011
  ", ALC/GAS   ," 214.400   
  "," R$ 1.750,00",
 FIAT,"UNO MILLE ECONOMY
      "," 2011/2012
  ", ALC/GAS   ," 261.000   
  "," R$ 1.750,00",
 VOLKSWAGEN,"JETTA VARIANT
      "," 2010/2011
  ", GASOLINA   ," 177.400   
  "," R$ 1.750,00",
 CHERY,"QQ 3 1.1
      "," 2011/2011
  ", GASOLINA   ," 151.650   
  "," R$ 1.750,00",
 CHEVROLET,"CRUZE LT NB AT
      "," 2012/2012
  ", ALC/GAS   ," 92.150   
  "," R$ 1.750,00","R$ 23.500,00"
 FORD,"FIESTA SEDAN1.6FLEX
      "," 2010/2011
  ", ALC/GAS/GNV   ," 174.700   
  "," R$ 1.750,00",
 VOLKSWAGEN,"GOL 1.0
      "," 2006/2007
  ", ALC/GAS/GNV   ," 291.050   
  "," R$ 1.750,00",
 CITROEN,"C4 20EXCA5P F
      "," 2009/2010
  ", ALC/GAS/GNV   ," 231.400   
  "," R$ 1.750,00",
 CHEVROLET,"MERIVA MAXX
      "," 2010/2010
  ", ALC/GAS/GNV   ," 158.150   
  "," R$ 1.750,00",
 TOYOTA,"ETIOS SD XS
      "," 2013/2013
  ", ALC/GAS   ," 100.550   
  "," R$ 1.750,00",
 FORD,"FIESTA FLEX
      "," 2012/2013
  ", ALC/GAS   ," 94.350   
  "," R$ 1.750,00",
 CHEVROLET,"VECTRA HATCH 4P GT
      "," 2010/2011
  ", ALC/GAS   ," 160.150   
  "," R$ 1.750,00",
 VOLKSWAGEN,"GOL 1.6
      "," 2009/2010
  ", ALC/GAS/GNV   ," 141.250   
  "," R$ 1.750,00",
 KIA,"SORENTO EX2 2.4G25
      "," 2010/2011
  ", GASOLINA/GNV   ," 125.900   
  "," R$ 1.750,00","R$ 24.500,00"
 RENAULT,"DUSTER 16 D 4X2
      "," 2012/2013
  ", ALC/GAS   ," 228.900   
  "," R$ 1.750,00",
 FORD,"KA FLEX
      "," 2009/2009
  ",," NÃO HÁ   
  "," R$ 1.750,00","R$ 2.200,00"
 CHEVROLET,"ASTRA SEDAN CD
      "," 2003/2003
  ",," NÃO HÁ   
  "," R$ 1.940,00","R$ 2.400,00"
 VOLKSWAGEN,"FOX 1.6 PLUS
      "," 2007/2008
  ", ALC/GAS   ," 184.950   
  "," R$ 1.940,00",
 VOLKSWAGEN,"GOLF GENERATION
      "," 2005/2005
  ", GASOLINA   ," 194.850   
  "," R$ 1.940,00",
 CHEVROLET,"CLASSIC LS
      "," 2011/2011
  ", ALC/GAS   ," 156.450   
  "," R$ 1.940,00","R$ 12.000,00"
 CITROEN,"C3 EXCL 16 16V
      "," 2005/2005
  ", GASOLINA   ," 259.650   
  "," R$ 1.940,00",
 DODGE,"DAKOTA SPORT 3.9 C
      "," 1998/1999
  ", GASOLINA/GNV   ," 279.700   
  "," R$ 1.940,00",
 FORD,"KA FLEX
      "," 2009/2010
  ", ALC/GAS   ," 208.900   
  "," R$ 1.940,00",
 FORD,"FOCUS 1.6L HA
      "," 2006/2007
  ", GASOLINA   ," 122.000   
  "," R$ 1.940,00",
 FORD,"FIESTA SEDAN
      "," 2005/2006
  ", GASOLINA   ," 194.950   
  "," R$ 1.940,00","R$ 7.200,00"
 FIAT,"UNO MILLE WAY ECON
      "," 2013/2013
  ", ALC/GAS   ," 187.600   
  "," R$ 1.940,00",
